,price,location,ratings,type,air,air conditioning,bar,breakfast,centre,closed,conditioning,desk,facilities,facilities guests,family,fitness,front,garden,guests,housekeeping,laundry,maker,non-smoking,parking,pool,restaurant,room,room service,service,shuttle,site,spa,superb,swimming,tea/coffee,tea/coffee maker,terrace,wellness,wifi
59,4999,28,6.8,79,0.0,0.0,0.2107855222551755,0.0931537010238833,0.1822454110663589,0.0,0.0,0.0,0.0,0.0,0.0,0.1994621573254894,0.0,0.0,0.0,0.0,0.0,0.1554484532956443,0.0,0.0,0.2532290611990521,0.1363018862149783,0.0731337409858743,0.0731337409858743,0.0731337409858743,0.1143765927707406,0.0,0.0,0.0,0.2460168427827969,0.1554484532956443,0.1554484532956443,0.0,0.0,0.0849071414699834
60,2250,12,10.0,14,0.0,0.0,0.0,0.2098156056494575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2196243994932656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1976,20,8.2,30,0.2044361040809944,0.2044361040809944,0.0,0.1763584202668743,0.0,0.0,0.2044361040809944,0.1555324497236332,0.0,0.0,0.1812345468712089,0.0,0.0,0.0,0.0,0.2154174907891308,0.0,0.0,0.0,0.0,0.0,0.0,0.1384566677084441,0.1384566677084441,0.1384566677084441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1607460484600943
62,1500,27,9.8,15,0.0,0.0,0.0,0.1306339136441365,0.0,0.0,0.0,0.1152074994509034,0.0,0.0,0.1342458052724728,0.0,0.0,0.304047730680929,0.0,0.0,0.3055411613059757,0.0,0.0,0.1367409957364284,0.0,0.0,0.1025589611514405,0.1025589611514405,0.1025589611514405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1931537894478039,0.0,0.1190693666987694
63,5891,27,8.9,51,0.0,0.0,0.0,0.1347129174185308,0.0,0.0,0.0,0.1188048181868246,0.0,0.0,0.1384375892520504,0.0,0.0,0.3135415275553151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1057613331692788,0.1057613331692788,0.1057613331692788,0.1654041044766145,0.0,0.0,0.0,0.0,0.0,0.0,0.1991849571148955,0.0,0.1227872710517086
64,1544,27,9.2,30,0.2057159508242435,0.2057159508242435,0.0,0.1774624901709539,0.0,0.0,0.2057159508242435,0.1565061412354294,0.0,0.0,0.1823691431580049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1393234584157135,0.1393234584157135,0.1393234584157135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1617523790568186
65,2379,21,6.662635796972395,30,0.1794388973192909,0.1794388973192909,0.0,0.1547943823715332,0.0,0.0,0.1794388973192909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2264941281003222,0.1215270262157982,0.1215270262157982,0.1215270262157982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,6175,27,7.9,107,0.0,0.0,0.0,0.1130703321800752,0.0,0.0,0.0,0.0,0.2026122770221283,0.2026122770221283,0.1161966090772593,0.0,0.0,0.0,0.2026122770221283,0.0,0.0,0.0,0.0,0.118356324014535,0.3073704399579827,0.1654437706897663,0.0887700251944286,0.0887700251944286,0.0887700251944286,0.1388307624502981,0.0,0.0,0.0,0.2986162206074049,0.0,0.0,0.0,0.0,0.1030606254496559
67,858,27,6.662635796972395,15,0.0,0.0,0.0,0.1636276032770191,0.0,0.0,0.0,0.1443050008135154,0.0,0.0,0.1681517360535274,0.0,0.0,0.0,0.0,0.199867109653372,0.0,0.0,0.0,0.1712771268800546,0.0,0.0,0.128461871344573,0.128461871344573,0.128461871344573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2419378762341531,0.0,0.1491422445606769
68,1499,3,7.7,30,0.2057159508242435,0.2057159508242435,0.0,0.1774624901709539,0.0,0.0,0.2057159508242435,0.1565061412354294,0.0,0.0,0.1823691431580049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1393234584157135,0.1393234584157135,0.1393234584157135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1617523790568186
